timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_size,flow_duration_ms,packets_per_sec,bytes_per_sec,ttl,tcp_flags,window_size,entropy_score,burst_rate,variance_inter_arrival,avg_packet_interval_ms,flow_entropy,packet_loss_rate,slice_id,edge_node_id,device_density,mobility_speed_kmph,latency_ms,beamforming_signal_strength,terahertz_band_ghz,qos_priority,anomaly_score,rl_action,mitigation_state,reward_score,attack_probability,label,attack_type
2026-05-25 11:21:42.338968,126.202.58.255,78.209.82.117,27883,53,ICMP,920,134.82,547.0,271856.98,95,ACK,8489,0.429,0.645,0.5406,1.45,0.5356,0.0254,mMTC,EDGE_17,3882,64.34,2.89,70.66,195.14,High,0.9769,Redirect,Monitoring,0.0988,0.2381,0,Normal
2026-05-25 11:21:43.338968,94.51.220.117,204.250.215.87,3317,8080,ICMP,1183,88.82,434.14,118518.97,52,SYN,11971,0.4783,0.6112,0.497,2.1312,0.2578,0.0207,URLLC,EDGE_16,1748,49.71,3.55,55.99,137.51,High,0.8303,Redirect,Monitoring,0.9464,0.2084,0,Normal
2026-05-25 11:21:44.338968,35.132.145.137,202.207.25.34,54940,22,TCP,817,65.63,6508.64,1256166.57,87,PSH,18756,0.9377,0.7379,0.3157,0.3704,0.414,0.0085,URLLC,EDGE_6,454,62.93,7.59,72.34,114.14,Low,0.7085,Allow,Monitoring,0.5357,0.2153,9,Slice_Attack
2026-05-25 11:21:45.338968,138.81.78.245,61.22.206.227,12808,22,TCP,313,64.44,5287.48,962321.89,55,SYN,65344,0.9138,0.6343,0.4757,2.0195,0.6304,0.0249,URLLC,EDGE_10,3622,65.08,9.05,76.49,221.87,Low,0.1475,Redirect,Idle,-0.6434,0.5942,6,Slowloris
2026-05-25 11:21:46.338968,113.37.160.200,140.197.132.190,35172,443,TCP,955,64.63,6584.2,2001596.25,35,RST,13792,0.8759,0.6086,0.4523,2.4523,0.4894,0.0167,mMTC,EDGE_2,3909,57.39,4.22,65.76,162.11,Low,0.307,Block,Idle,-0.9107,0.752,3,HTTP_Flood
2026-05-25 11:21:47.338968,169.75.8.165,161.42.34.36,53446,80,ICMP,538,136.98,5515.94,2526302.2,36,ACK,17762,1.0133,0.7423,0.4698,0.346,0.904,0.0129,mMTC,EDGE_6,4315,55.52,7.35,55.22,235.46,High,0.2374,Throttle,Active,0.0594,0.745,9,Slice_Attack
2026-05-25 11:21:48.338968,104.129.107.247,165.205.51.226,6295,80,UDP,1177,43.54,4158.74,1189399.45,87,FIN,36882,0.939,0.5704,0.4923,1.0667,0.5451,0.0216,mMTC,EDGE_6,1974,23.41,9.87,79.11,293.47,Low,0.2806,Allow,Active,-0.0918,0.3477,8,Adaptive_AI_DDoS
2026-05-25 11:21:49.338968,136.51.248.215,54.124.68.104,40284,80,TCP,214,58.66,3107.68,217537.87,70,ACK,8842,0.8824,1.0068,0.1621,1.1575,0.7295,0.0039,eMBB,EDGE_18,1955,41.69,8.2,55.64,126.35,Medium,0.6526,Block,Idle,-0.1133,0.7554,6,Slowloris
2026-05-25 11:21:50.338968,54.82.152.20,45.173.192.226,52567,80,TCP,374,132.63,6263.63,2624462.28,128,SYN,10570,0.8078,0.6947,0.2086,0.398,0.6407,0.0162,eMBB,EDGE_4,3898,58.17,7.77,84.01,103.73,High,0.8047,Throttle,Idle,-0.0602,0.4202,1,SYN_Flood
2026-05-25 11:21:51.338968,178.119.133.246,151.148.227.67,53052,80,TCP,185,59.12,6267.71,651842.0,60,PSH,21001,0.864,0.364,0.6105,1.4314,0.8786,0.0148,eMBB,EDGE_1,1479,27.45,14.04,72.74,113.52,Low,0.7786,Block,Monitoring,-0.2385,0.744,7,Botnet
